Year,Solution,GHG Emissions reduction compared to no action (kgCO2e)
2023,Choix d'un véhicule électrique,0
2023,Compenser avec du TT pour garder la même surface de bureaux,0
2023,Optimiser les contenus numériques,0
2023,Pas d'augmentation du nombre de véhicules de fonction,0
2023,Prolonger la durée de vie des équipements IT,0
2023,Remplacer les essuie-mains par un sèche-main électrique à air pulsé,0
2023,Retirer les poubelles individuelles,0
2023,Revue des prestataires de service,0
2030,Choix d'un véhicule électrique,-4147
2030,Compenser avec du TT pour garder la même surface de bureaux,-1296
2030,Optimiser les contenus numériques,-15
2030,Pas d'augmentation du nombre de véhicules de fonction,-3957
2030,Prolonger la durée de vie des équipements IT,-1257
2030,Remplacer les essuie-mains par un sèche-main électrique à air pulsé,-499
2030,Retirer les poubelles individuelles,-333
2030,Revue des prestataires de service,-15383
